"","sex","joint","reachheight","deviation","moment","Fstat","numdf","dendf","adjrsquared","residualstderror","slope_coefficient","slope_standarderror","slope_tvalue","slope_pvalue"
"46","M","Elbow",120,1,"Norm_RE_Moment",108.442541780555,1,2998,0.0345870043741325,1.95669336235536,-0.217830450409875,0.0209179319225956,-10.413574879961,5.7015467282635e-25
"47","M","Elbow",120,1,"Norm_RS_Moment",2.57783524595528,1,2998,0.000525843798291681,3.80329933616131,0.0652805883335425,0.0406589801578867,1.60556384051064,0.108475095009413
"48","M","Elbow",120,1,"Norm_B_Moment",30.7756700966909,1,2998,0.00983092620251425,2.99836625794956,-0.177821559347165,0.0320538835923162,-5.54758236502088,3.14866029393488e-08
"49","M","Shoulder",120,-1,"Norm_RE_Moment",445.531904213141,1,2998,0.129091850047696,1.70377693689081,-0.384457301334921,0.0182141416038072,-21.1076266835742,2.55876621716019e-92
"50","M","Shoulder",120,-1,"Norm_RS_Moment",11.2153825185183,1,2998,0.00339469968745432,3.82188059723366,0.136829623978989,0.0408576221943063,3.34893752084421,0.000821246184370697
"51","M","Shoulder",120,-1,"Norm_B_Moment",398.491198007081,1,2998,0.117029950862323,0.0880772562704105,0.0187961593094329,0.000941585475802743,19.9622443128791,2.41887252221132e-83
"52","M","Shoulder",120,1,"Norm_RE_Moment",532.680615644299,1,2998,0.15058870329093,1.99383225184955,-0.49194668315235,0.0213149633517742,-23.0798746886611,1.27113777068091e-108
"53","M","Shoulder",120,1,"Norm_RS_Moment",5.77382280663416,1,2998,0.00158927505472894,3.86053140803058,0.099168738654332,0.0412708167420868,2.4028780257504,0.0163270239800176
"54","M","Shoulder",120,1,"Norm_B_Moment",128.262260210201,1,2998,0.0407074805687111,0.904436633550717,0.109502381037553,0.00966883431655424,11.325292941474,3.81202471774975e-29
"55","M","Wrist",140,-1,"Norm_RE_Moment",23.3482159702144,1,2998,0.00739676938000289,5.33069701112703,0.275363785252556,0.0569875481381058,4.83199916910319,1.41962863176838e-06
"56","M","Wrist",140,-1,"Norm_RS_Moment",154.498992744496,1,2998,0.048691210718156,3.74443994717853,0.497560241001893,0.0400297468219768,12.4297623768314,1.26595698218536e-34
"57","M","Wrist",140,-1,"Norm_B_Moment",1342.11396105045,1,2998,0.309004319491614,5.79264325613549,-2.26864975975645,0.0619259612236155,-36.6348735640021,3.75347561741878e-243
"58","M","Wrist",140,1,"Norm_RE_Moment",24.2154511246652,1,2998,0.00768160030285936,5.05395152526729,0.265872443935414,0.0540290144483249,4.92091974377402,9.07902952910761e-07
"59","M","Wrist",140,1,"Norm_RS_Moment",3.91476562594318,1,2998,0.000970968816076834,3.8985074754288,-0.0824607400243443,0.0416767979795187,-1.97857666668318,0.0479550760169528
"60","M","Wrist",140,1,"Norm_B_Moment",2.22401348179906,1,2998,0.000407974030038782,0.0953348560240524,-0.00151990483416108,0.00101917248074121,-1.49131267070291,0.135984631196121
"61","M","Elbow",140,-1,"Norm_RE_Moment",5.79763773778056,1,2998,0.00159719072866504,5.03696461000214,-0.129655340659652,0.0538474166855236,-2.40782842781218,0.0161077513239527
"62","M","Elbow",140,-1,"Norm_RS_Moment",9.76479762816702,1,2998,0.00291405685546919,3.88239814091784,0.129696324120616,0.0415045819496073,3.12486761770272,0.0017958587653907
